date,open,high,low,close,volume,amount
2015-02-12,4321.4102,4347.9702,4317.98,4347.9702,708454472,3070320000000
2015-02-13,4359.7798,4384.0298,4351.02,4384.0298,549015450,2399040000000
2015-02-17,4379.3198,4387.3198,4370.6299,4385.3398,522295542,2288000000000
2015-02-18,4378.73,4393.1899,4374.23,4390.9102,450220563,1973890000000
2015-02-19,4388.9199,4415.79,4388.4399,4411.8599,474562546,2088670000000
2015-02-20,4406.75,4444.6201,4397.6201,4443.0498,532741985,2356320000000
2015-02-23,4441.2598,4449.4902,4430.8701,4449.4902,514763657,2286980000000
2015-02-24,4442.1299,4455.52,4428.8198,4451.0298,554614859,2464920000000
2015-02-25,4441.0801,4461.1201,4429.8999,4440.5898,527324904,2343000000000
2015-02-26,4443.5498,4463.8101,4430.79,4462.27,529386643,2355830000000
2015-02-27,4459.8599,4464.3101,4435.6499,4440.6699,524176923,2332650000000
2015-03-02,4452.7998,4483.9702,4450.8599,4483.0498,547621680,2446590000000
2015-03-03,4466.5298,4473.6401,4433.5,4458.7798,563555731,2512390000000
2015-03-04,4442.4102,4452.3701,4421.0,4445.3599,518750814,2303400000000
2015-03-05,4454.8799,4464.48,4433.9399,4452.0601,465657736,2072800000000
2015-03-06,4442.1899,4453.9302,4389.8198,4399.23,553922541,2449050000000
2015-03-09,4406.8701,4424.2202,4391.6201,4412.9902,492760039,2172540000000
2015-03-10,4376.0298,4381.6201,4331.5,4333.71,551956178,2404160000000
2015-03-11,4336.0498,4342.8701,4304.2798,4305.3799,538818473,2328850000000
2015-03-12,4302.73,4339.2002,4300.8701,4336.23,595553334,2572650000000
2015-03-13,4328.0898,4347.8701,4289.2998,4314.8999,570947366,2466520000000
2015-03-16,4338.29,4371.46,4327.27,4370.4702,471627628,2052460000000
2015-03-17,4355.8301,4384.98,4349.6899,4375.6201,539766507,2356910000000
2015-03-18,4366.7998,4440.4902,4344.4902,4422.5,675103693,2966120000000
2015-03-19,4424.79,4440.0098,4419.8398,4426.8301,526144539,2329700000000
2015-03-20,4468.29,4478.6899,4456.4102,4458.54,877613556,3918970000000
2015-03-23,4454.1499,4466.3398,4445.52,4445.54,491975492,2190710000000
2015-03-24,4444.3901,4467.79,4430.9702,4430.98,476117774,2115640000000
2015-03-25,4437.3799,4442.54,4329.29,4329.29,771367234,3382160000000
2015-03-26,4288.1602,4340.1699,4280.9502,4315.2598,728408924,3136630000000
2015-03-27,4314.6001,4342.9199,4309.52,4332.8599,586760235,2537720000000
2015-03-30,4359.7798,4384.1802,4359.7798,4382.8198,635600655,2778620000000
2015-03-31,4364.1401,4377.3599,4333.6899,4333.6899,571322352,2486520000000
2015-04-01,4328.1699,4334.5601,4284.0601,4306.9502,572630339,2470000000000
2015-04-02,4316.2402,4327.79,4302.4902,4316.0098,521260511,2249570000000
2015-04-06,4286.1602,4361.5601,4283.9102,4350.98,560524095,2421830000000
2015-04-07,4349.3101,4379.4199,4343.7402,4344.0801,490088103,2133910000000
2015-04-08,4345.2202,4382.8198,4345.0898,4375.96,552282786,2409210000000
2015-04-09,4375.7798,4405.6499,4361.23,4403.9502,540158422,2369490000000
2015-04-10,4402.02,4422.6299,4394.3799,4422.02,487827868,2151450000000
2015-04-13,4428.1299,4448.2002,4407.0698,4409.21,477129085,2110410000000
2015-04-14,4409.29,4418.8701,4375.1001,4397.6499,467769931,2058290000000
2015-04-15,4409.7402,4435.2798,4406.04,4424.5298,531064700,2346720000000
2015-04-16,4412.1499,4427.2202,4408.96,4418.8301,499597418,2206620000000
2015-04-17,4379.6299,4390.3101,4333.1099,4351.7998,683924302,2984450000000
2015-04-20,4373.6499,4423.8799,4373.0898,4417.3999,519092180,2282450000000
2015-04-21,4444.5,4448.6699,4430.98,4435.98,551578211,2449030000000
2015-04-22,4448.5801,4466.8398,4419.3501,4460.8101,519429437,2310890000000
2015-04-23,4445.1699,4496.0801,4444.29,4477.0698,683793679,3053580000000
2015-04-24,4529.73,4543.6401,4517.8799,4536.7798,715478008,3242550000000
2015-04-27,4548.5098,4562.3301,4516.3301,4525.04,827369524,3754650000000
2015-04-28,4529.4102,4537.1499,4479.0098,4515.27,694505133,3135840000000
2015-04-29,4490.5698,4517.0098,4463.98,4488.1499,620284249,2785030000000
2015-04-30,4459.23,4480.3599,4395.1001,4414.25,698335732,3098680000000
2015-05-01,4437.7002,4479.0601,4435.2402,4479.0601,547635191,2441230000000
2015-05-04,4491.1899,4510.4702,4480.8501,4482.6099,473358830,2125990000000
2015-05-05,4464.21,4472.23,4407.27,4409.3901,584706186,2595090000000
2015-05-06,4420.2998,4429.96,4349.9302,4379.75,632096063,2778050000000
2015-05-07,4377.8101,4413.73,4373.29,4401.5498,656527921,2883200000000
2015-05-08,4445.0,4466.1699,4441.73,4458.6499,604092982,2689960000000
2015-05-11,4457.6201,4468.75,4437.5298,4438.6299,484575400,2156670000000
2015-05-12,4412.8301,4441.3999,4380.52,4420.6499,512673348,2262860000000
2015-05-13,4436.0801,4460.54,4421.75,4426.5601,504819882,2239500000000
2015-05-14,4461.0698,4496.25,4448.3799,4495.04,573595708,2566950000000
2015-05-15,4505.3901,4509.1299,4482.5498,4494.29,568818164,2558450000000
2015-05-18,4487.1401,4521.0098,4483.7598,4512.9502,481433398,2167040000000
2015-05-19,4514.6699,4521.8501,4498.52,4503.7202,520343247,2346590000000
2015-05-20,4505.5898,4533.9199,4484.52,4505.2998,561660611,2531590000000
2015-05-21,4499.4199,4537.2798,4495.3999,4529.4702,525682178,2373660000000
2015-05-22,4522.8599,4542.46,4522.6099,4527.1602,454879053,2060040000000
2015-05-26,4516.6299,4521.8501,4456.7598,4472.96,548753954,2465030000000
2015-05-27,4488.0498,4551.52,4479.7402,4546.0601,558900885,2524190000000
2015-05-28,4537.48,4548.2402,4523.5498,4535.6602,559660587,2538750000000
2015-05-29,4532.1499,4539.5698,4499.6499,4508.25,660656709,2986110000000
2015-06-01,4530.0298,4535.4302,4488.1699,4521.8501,627427326,2835260000000
2015-06-02,4503.7598,4531.0801,4486.1899,4508.8901,495722132,2234460000000
2015-06-03,4531.04,4539.3501,4512.4399,4519.8599,505579957,2288090000000
2015-06-04,4501.73,4526.21,4475.0498,4487.0298,529626318,2382000000000
2015-06-05,4483.4302,4493.4302,4452.3301,4477.1899,470356873,2105600000000
2015-06-08,4476.6899,4477.8301,4423.7998,4431.52,521401721,2321520000000
2015-06-09,4421.02,4441.6201,4392.4502,4427.6099,543807780,2404000000000
2015-06-10,4440.54,4497.5098,4435.29,4485.46,522474960,2332690000000
2015-06-11,4498.48,4511.3198,4483.8398,4488.4702,491274861,2208540000000
2015-06-12,4467.3799,4476.21,4449.21,4453.79,414631116,1849940000000
2015-06-15,4416.1401,4437.9702,4396.1299,4432.9199,501001976,2214820000000
2015-06-16,4428.2998,4463.2002,4426.1899,4455.8999,424096382,1884430000000
2015-06-17,4465.1699,4482.27,4441.3398,4468.98,486058720,2169980000000
2015-06-18,4483.6099,4540.6899,4483.6099,4531.8501,552154204,2490180000000
2015-06-19,4538.71,4539.4902,4511.3901,4511.3901,526557798,2382800000000
2015-06-22,4541.8501,4557.98,4534.7598,4544.04,458358761,2083080000000
2015-06-23,4549.52,4551.77,4529.9902,4548.7402,445071728,2022850000000
2015-06-24,4542.0698,4561.6401,4523.8999,4524.6001,518903859,2354810000000
2015-06-25,4540.3999,4546.1499,4508.6499,4514.0098,447619358,2026510000000
2015-06-26,4514.3701,4523.9702,4469.23,4484.2798,764402427,3438250000000
2015-06-29,4433.1602,4460.0801,4377.23,4379.8701,624107027,2753930000000
2015-06-30,4414.46,4420.5,4381.9399,4402.3398,502501156,2213420000000
2015-07-01,4433.79,4445.8999,4409.4199,4429.23,531988633,2356490000000
2015-07-02,4440.1699,4445.8301,4417.48,4433.3901,453945655,2012890000000
2015-07-06,4394.4399,4444.4102,4394.4399,4418.6602,525396818,2318570000000
2015-07-07,4422.75,4434.9102,4344.1499,4429.0601,658488609,2902430000000
2015-07-08,4392.5098,4403.1299,4346.4199,4351.5801,616519016,2696290000000
2015-07-09,4410.3799,4414.4302,4351.5098,4352.0298,655942068,2874400000000
2015-07-10,4405.9902,4434.1099,4394.0098,4420.1499,532974648,2352320000000
2015-07-13,4457.7598,4498.7402,4456.54,4494.4702,523272132,2342630000000
2015-07-14,4503.2002,4537.21,4500.6602,4523.4702,617389868,2788220000000
2015-07-15,4531.3101,4547.1802,4517.3999,4528.3599,573988173,2600780000000
2015-07-16,4567.0601,4595.02,4558.3198,4594.8999,658796141,3016510000000
2015-07-17,4635.48,4661.6001,4624.6802,4661.6001,641545982,2980520000000
2015-07-20,4670.23,4694.1299,4657.98,4679.6699,584367600,2732210000000
2015-07-21,4679.54,4686.3599,4661.7598,4674.3999,620967021,2903340000000
2015-07-22,4604.9702,4643.8301,4604.5298,4623.2402,729093452,3367790000000
2015-07-23,4627.5601,4641.5801,4592.5,4602.8301,704841891,3253630000000
2015-07-24,4630.9502,4632.0601,4552.3999,4557.3701,657318823,3019190000000
2015-07-27,4530.3701,4551.9902,4511.9199,4519.0898,683621057,3095670000000
2015-07-28,4539.4702,4568.79,4506.1899,4560.23,695332159,3159360000000
2015-07-29,4570.5,4586.7798,4552.7598,4581.6001,634134607,2899840000000
2015-07-30,4570.77,4606.6499,4540.98,4598.5898,673330265,3083350000000
2015-07-31,4615.8398,4616.48,4584.2202,4588.9102,624576303,2873900000000
2015-08-03,4595.2598,4607.52,4549.6001,4580.46,563413379,2582240000000
2015-08-04,4573.25,4584.4502,4551.8999,4567.46,642164970,2934220000000
2015-08-05,4592.8101,4634.7002,4590.1899,4602.2402,728827953,3356240000000
2015-08-06,4608.6899,4612.6201,4508.2998,4528.5098,873364244,3986500000000
2015-08-07,4519.3599,4532.46,4485.5,4520.0801,610776346,2757260000000
2015-08-10,4558.6802,4583.6299,4554.6201,4573.1099,570844458,2607340000000
2015-08-11,4548.75,4567.6899,4491.0601,4513.9902,650981648,2949190000000
2015-08-12,4475.9102,4539.1802,4436.54,4528.1899,733559361,3297320000000
2015-08-13,4536.96,4556.1401,4514.4502,4519.3198,553509147,2508350000000
2015-08-14,4512.8799,4536.2002,4503.8301,4530.7402,509829785,2304900000000
2015-08-17,4516.8799,4568.5898,4507.98,4566.3701,458467654,2081420000000
2015-08-18,4556.23,4562.1499,4536.0498,4542.0698,495084319,2252200000000
2015-08-19,4525.3198,4550.6699,4486.1099,4510.8999,591707931,2673480000000
2015-08-20,4467.79,4484.3599,4385.1299,4385.1299,783829403,3472840000000
2015-08-21,4313.1899,4361.3198,4197.27,4197.27,1081570633,4615350000000
2015-08-24,3847.1201,4199.79,3787.23,4038.6001,1451481334,5759750000000
2015-08-25,4187.2798,4207.3799,4015.9099,4016.3201,1062389500,4362940000000
2015-08-26,4141.2402,4227.8599,4052.54,4219.6001,1045096237,4347920000000
2015-08-27,4281.6299,4328.9902,4231.1401,4324.8198,877146008,3764400000000
2015-08-28,4307.0498,4340.7002,4295.5601,4329.1201,735096298,3174220000000
2015-08-31,4299.8799,4324.73,4262.0801,4274.5801,644377315,2764580000000
2015-09-01,4177.9399,4229.3101,4121.8301,4142.6299,842910178,3513190000000
2015-09-02,4207.6802,4256.23,4166.0801,4256.23,685898440,2895560000000
2015-09-03,4267.3398,4300.2998,4222.3799,4234.6499,621715047,2646120000000
2015-09-04,4175.6201,4210.8101,4160.4302,4184.7202,600044755,2509920000000
2015-09-08,4267.3999,4306.5,4247.1401,4303.5298,653058070,2795830000000
2015-09-09,4346.3599,4352.96,4242.46,4253.4502,699061795,3005130000000
2015-09-10,4248.48,4326.77,4243.6899,4296.2998,618945854,2648350000000
2015-09-11,4273.6201,4323.23,4268.1001,4323.23,508152703,2183560000000
2015-09-14,4334.8599,4334.9399,4293.77,4308.7598,490181526,2116640000000
2015-09-15,4322.4102,4373.1899,4303.8901,4360.2798,546390982,2371310000000
2015-09-16,4357.3599,4388.3198,4346.4702,4383.6699,521152699,2276890000000
2015-09-17,4378.9902,4450.6602,4368.7998,4384.96,630018237,2769470000000
2015-09-18,4325.29,4374.9199,4317.0898,4323.8599,1129381990,4896200000000
2015-09-21,4343.77,4372.4199,4299.9399,4336.1299,559262002,2426110000000
2015-09-22,4273.2998,4286.6001,4233.8999,4274.1001,623871859,2662050000000
2015-09-23,4280.0098,4294.73,4255.0601,4273.5298,470667468,2012500000000
2015-09-24,4239.8501,4275.6401,4198.1099,4261.1001,676422261,2870520000000
2015-09-25,4305.3799,4308.6602,4198.96,4224.7402,650330985,2770040000000
2015-09-28,4206.6802,4207.02,4092.29,4103.4702,814667921,3382800000000
2015-09-29,4110.2598,4155.3101,4053.1101,4083.3701,794300567,3257040000000
2015-09-30,4137.1802,4181.0601,4125.2002,4181.0601,788779805,3278270000000
2015-10-01,4185.2798,4194.1802,4128.3398,4192.96,705848859,2947050000000
2015-10-02,4136.96,4267.4502,4124.54,4267.4502,794928175,3337980000000
2015-10-05,4296.54,4339.23,4290.25,4331.4302,694278970,2995370000000
2015-10-06,4315.3198,4332.0298,4273.7002,4306.7002,701983012,3023400000000
2015-10-07,4331.8701,4342.5801,4279.21,4333.46,720221958,3112640000000
2015-10-08,4316.1802,4358.0898,4275.6001,4350.1499,694863931,3005290000000
2015-10-09,4355.2402,4378.2598,4341.5098,4370.0098,587332934,2561510000000
2015-10-12,4378.6401,4389.77,4363.96,4382.5601,437059633,1913770000000
2015-10-13,4354.0601,4399.9302,4349.1802,4352.9399,488384047,2131320000000
2015-10-14,4356.8198,4373.71,4328.96,4346.9199,702282486,3056050000000
2015-10-15,4361.98,4418.25,4357.2202,4418.2202,666708535,2926130000000
2015-10-16,4419.9502,4438.75,4405.8799,4438.6201,581860902,2575200000000
2015-10-19,4428.0601,4464.7798,4420.7998,4462.0698,535391413,2379240000000
2015-10-20,4454.6201,4463.1099,4424.3398,4438.1802,626093601,2783030000000
2015-10-21,4462.2202,4464.73,4409.8999,4413.52,691563886,3068880000000
2015-10-22,4451.3198,4504.7002,4438.6001,4503.2202,841005754,3763050000000
2015-10-23,4623.7202,4645.96,4598.7402,4624.0898,863207368,3990720000000
2015-10-26,4621.1401,4638.75,4606.6602,4630.8501,633363104,2928890000000
2015-10-27,4617.6001,4645.9399,4617.4399,4639.23,616880630,2856190000000
2015-10-28,4649.1001,4678.5801,4609.9302,4678.5801,705695426,3284340000000
2015-10-29,4657.7798,4678.2002,4653.0,4670.77,591151762,2757690000000
2015-10-30,4676.2998,4681.23,4648.8301,4648.8301,641426080,2991480000000
2015-11-02,4658.79,4707.77,4652.4502,4703.9199,536249722,2510040000000
2015-11-03,4692.0298,4735.3101,4685.98,4719.0498,602889989,2838460000000
2015-11-04,4729.0698,4737.1201,4698.8398,4717.5498,672947292,3176750000000
2015-11-05,4718.5098,4731.5601,4678.79,4702.8999,684373153,3221990000000
2015-11-06,4695.8799,4710.4702,4665.4102,4707.23,646971457,3037370000000
2015-11-09,4687.3501,4694.27,4627.1201,4655.52,567678162,2648820000000
2015-11-10,4628.8301,4647.3198,4616.71,4641.73,602614703,2792300000000
2015-11-11,4657.1899,4677.7798,4631.0601,4636.9399,560616011,2607280000000
2015-11-12,4617.7798,4639.2598,4588.0801,4588.9302,584673808,2694480000000
2015-11-13,4566.1201,4575.7998,4499.1499,4502.1401,704265659,3194410000000
2015-11-16,4494.5601,4566.0298,4486.0898,4565.4702,638090095,2889300000000
2015-11-17,4571.54,4598.27,4554.8901,4565.8198,594895446,2720240000000
2015-11-18,4586.2402,4657.6299,4580.7202,4653.4399,651655697,3010330000000
2015-11-19,4657.6099,4678.02,4648.9399,4655.3501,585156225,2726820000000
2015-11-20,4680.5098,4691.5898,4674.6099,4686.3599,592224749,2773550000000
2015-11-23,4689.98,4706.6201,4655.6001,4674.79,457562660,2142190000000
2015-11-24,4645.52,4682.1299,4621.6299,4669.4102,541546949,2520720000000
2015-11-25,4674.23,4683.5498,4666.23,4672.8799,386539448,1806770000000
2015-11-27,4680.4399,4689.5801,4665.9199,4680.46,204975079,959099000000
2015-11-30,4692.5698,4695.0601,4654.5298,4664.5098,654688537,3061760000000
2015-12-01,4685.7402,4716.1602,4682.3999,4716.1602,593252501,2788350000000
2015-12-02,4720.27,4739.75,4680.0601,4686.2202,624933970,2941300000000
2015-12-03,4704.2002,4705.7798,4579.9102,4606.75,696886917,3239940000000
2015-12-04,4621.48,4722.3799,4612.1099,4716.1201,635489958,2966480000000
2015-12-07,4718.5498,4720.8198,4671.8701,4693.6201,592090790,2783550000000
2015-12-08,4646.4302,4708.4702,4643.6499,4694.77,583875950,2728650000000
2015-12-09,4674.7998,4698.25,4595.0098,4622.1401,637087874,2960900000000
2015-12-10,4627.77,4674.0,4619.98,4643.0498,516838939,2398750000000
2015-12-11,4583.0801,4600.9102,4534.0498,4537.5601,674972078,3080500000000
2015-12-14,4535.5601,4571.5698,4478.25,4570.1602,708319088,3214980000000
2015-12-15,4607.2002,4636.77,4592.7202,4597.3301,698121443,3217300000000
2015-12-16,4633.8501,4673.54,4582.8701,4664.5601,597215498,2770310000000
2015-12-17,4680.6201,4681.1299,4597.6499,4598.1401,587751539,2726810000000
2015-12-18,4578.6899,4593.3999,4519.5298,4531.6699,647355369,2949240000000
2015-12-21,4547.9199,4560.71,4519.8198,4560.5498,489879126,2227600000000
2015-12-22,4580.6099,4596.0801,4560.54,4589.2598,461138160,2112760000000
2015-12-23,4612.1602,4626.1699,4605.3599,4624.5898,482593179,2228170000000
2015-12-24,4626.3198,4635.5898,4620.7998,4622.77,191488323,885896000000
2015-12-28,4610.4102,4621.6802,4580.1299,4621.3501,336269693,1549660000000
2015-12-29,4645.0801,4702.7402,4644.3198,4691.0801,382068258,1784570000000
2015-12-30,4687.1602,4688.6602,4651.73,4652.0098,298249887,1392790000000
2015-12-31,4634.1499,4642.5498,4592.8799,4593.27,383664759,1770890000000
2016-01-04,4485.0601,4497.8599,4439.1299,4497.8599,758593059,3398480000000
2016-01-05,4512.04,4522.1201,4466.0498,4484.1802,612149880,2752290000000
2016-01-06,4409.7798,4467.5498,4409.4902,4443.98,729656117,3234350000000
2016-01-07,4349.1401,4403.6099,4303.6602,4305.7202,874485169,3795730000000
2016-01-08,4336.1201,4362.46,4264.8101,4270.7798,768341038,3310430000000
2016-01-11,4300.96,4311.1401,4217.6299,4283.5498,737145214,3153740000000
2016-01-12,4322.77,4353.1899,4273.02,4333.7202,629877621,2721500000000
2016-01-13,4352.6401,4359.5,4177.2998,4183.1201,811480885,3463510000000
2016-01-14,4201.23,4308.25,4133.3198,4272.9702,859697339,3635610000000
2016-01-15,4123.8701,4184.6899,4085.79,4143.0801,945117309,3907450000000
2016-01-19,4199.5601,4202.04,4101.0498,4147.0801,778927505,3242230000000
2016-01-20,4078.23,4178.6299,3992.9099,4134.79,988042038,4047160000000
2016-01-21,4146.4399,4200.3599,4099.2998,4142.6001,811264612,3364460000000
2016-01-22,4226.4399,4260.5498,4209.2402,4259.77,704949976,2988280000000
2016-01-25,4245.4702,4268.1099,4193.3198,4196.5298,658812018,2784050000000
2016-01-26,4211.9199,4250.9702,4177.8501,4233.8501,612407500,2583530000000
2016-01-27,4214.9399,4226.0898,4111.9302,4128.8599,759417692,3167120000000
2016-01-28,4197.2002,4197.48,4116.5,4186.0601,927124514,3870110000000
2016-01-29,4186.3501,4275.46,4184.3101,4273.6602,806905477,3413170000000
2016-02-01,4254.4102,4301.6299,4238.2002,4286.5601,676909781,2890540000000
2016-02-02,4262.4502,4265.04,4180.5698,4193.1001,813420941,3436940000000
2016-02-03,4213.6699,4218.1499,4099.2402,4171.9702,937132125,3913240000000
2016-02-04,4158.0498,4200.9902,4120.5801,4167.77,815602007,3394410000000
2016-02-05,4150.3501,4152.73,4008.45,4024.47,940570193,3841290000000
2016-02-08,3947.99,3979.0901,3888.78,3960.5901,909383355,3586710000000
2016-02-09,3903.9299,4008.0601,3902.74,3947.8,834606187,3288880000000
2016-02-10,3996.76,4045.48,3962.7,3966.27,741316352,2959930000000
2016-02-11,3910.5701,3988.71,3902.8601,3962.22,895752684,3530240000000
2016-02-12,3996.6399,4022.1201,3965.74,4019.1899,699343692,2798020000000
2016-02-16,4077.3301,4104.3301,4049.8799,4104.3301,734674720,3000390000000
2016-02-17,4138.4302,4204.6201,4125.8301,4199.1001,770740615,3211670000000
2016-02-18,4212.2202,4212.5801,4146.1001,4151.4902,647119696,2705350000000
2016-02-19,4129.75,4175.0801,4121.5898,4164.0898,680075634,2820700000000
2016-02-22,4203.6001,4235.1201,4199.9302,4231.27,609984969,2572600000000
2016-02-23,4209.3198,4217.9902,4158.5601,4162.54,563354496,2358820000000
